category;title;link
Página Principal;Gabinete do ódio dribla cerco judicial e adota novas redes sociais como Tik Tok e Telegram;https://politica.estadao.com.br/noticias/geral,sob-cerco-gabinete-do-odio-age-para-manter-influencia,70003850994
Página Principal;Instituto particular dentro da Cidade Universitária quer ser o 'MIT brasileiro';https://educacao.estadao.com.br/noticias/geral,instituto-particular-dentro-do-ipt-quer-ser-o-mit-brasileiro,70003850979
Página Principal;Brasil teve política de infecção em massa, diz juíza que atuou em Haia;https://politica.estadao.com.br/noticias/geral,brasil-teve-politica-de-infeccao-em-massa-diz-juiza-que-atuou-no-tribunal-de-haia,70003850906
Página Principal;Presidente da Caixa testa positivo e é 4º caso de covid na comitiva que foi a NY;https://politica.estadao.com.br/noticias/geral,pedro-guimaraes-presidente-da-caixa-esta-com-covid-19,70003851536
Página Principal;Servidor demitido por baixo desempenho receberá indenização, diz Guedes;https://cultura.estadao.com.br/blogs/direto-da-fonte/paulo-guedes-explica-a-reforma-administrativa/
Página Principal;Sem carro zero no mercado, preço de usados sobe até 20% e vendas disparam;https://economia.estadao.com.br/noticias/geral,sem-carro-zero-no-mercado-preco-de-usados-sobe-ate-20-e-vendas-disparam,70003850682
Página Principal;Viagem na pandemia exige flexibilidade e atenção a cada etapa do roteiro;https://viagem.estadao.com.br/blogs/viagem/viagem-na-pandemia-exige-flexibilidade-e-atencao-a-cada-etapa-do-roteiro/
Página Principal;Conheça os principais sinais da depressão em idosos e saiba como ajudar;https://saude.estadao.com.br/noticias/geral,veja-os-principais-sinais-da-depressao-saiba-como-ajudar,70003844431
Página Principal;Rio tem vacinação recorde em dia que público pôde escolher o imunizante;https://saude.estadao.com.br/noticias/geral,rio-registra-recorde-de-vacinacao-contra-a-covid-19-em-um-unico-dia,70003851407
Página Principal;Luciana Kotaka: 'Ao encarar o medo da morte podemos aprender a viver';https://emais.estadao.com.br/blogs/luciana-kotaka/ao-encararmos-o-medo-da-morte-podemos-aprender-a-viver/
Página Principal;"Partidos resistem a unir oposição em atos; leia o que dizem líderes políticos";https://politica.estadao.com.br/noticias/geral,partidos-resistem-a-unir-oposicao-em-atos-leia-o-que-dizem-14-lideres-politicos,70003850977
Página Principal;Educação financeira: conheça cinco livros para aprender sobre o assunto;https://einvestidor.estadao.com.br/educacao-financeira/educacao-financeira-5-livros-assunto/
Página Principal;A política e a esperança;https://opiniao.estadao.com.br/noticias/notas-e-informacoes,a-politica-e-a-esperanca,70003850631
Página Principal;Educação abaixo do medíocre;https://opiniao.estadao.com.br/noticias/notas-e-informacoes,educacao-abaixo-do-mediocre,70003850633
Página Principal;Um Tietê mais limpo;https://opiniao.estadao.com.br/noticias/notas-e-informacoes,um-tiete-mais-limpo,70003850638
Página Principal;Cenário externo ajuda o balanço de pagamentos;https://opiniao.estadao.com.br/noticias/editorial-economico,cenario-externo-ajuda-o-balanco-de-pagamentos,70003850739
Página Principal;'Queremos paz, mas temos dificuldade de perceber que a sociedade é plural';https://opiniao.estadao.com.br/noticias/espaco-aberto,o-que-nos-une,70003849761
Página Principal;Em Sochi, Hamilton ganha 100º GP e reassume a liderança;https://esportes.estadao.com.br/noticias/velocidade,chuva-no-fim-em-sochi-ajuda-hamilton-ganha-100-gp-da-carreira-e-reassume-lideranca,70003851307
Página Principal;Santos volta a decepcionar, perde para o Juventude e pode entrar no Z-4;https://esportes.estadao.com.br/noticias/futebol,santos-volta-a-decepcionar-perde-do-juventude-e-pode-entrar-no-z-4,70003851617
Página Principal;Expulso de 'A Fazenda', Nego do Borel tem dois processos por abuso sexual;https://emais.estadao.com.br/noticias/gente,nego-do-borel-expulso-de-a-fazenda-tem-dois-processos-abertos-por-abuso-sexual,70003851368
Página Principal;Operação 'Maria da Penha' do Ministério da Justiça prende 14 mil em um mês;https://politica.estadao.com.br/blogs/fausto-macedo/operacao-maria-da-penha-do-ministerio-da-justica-prende-14-mil-em-um-mes-por-violencia-domestica-e-quebra-de-medidas-protetivas/
